title,year,director,rating,votes,metascore
how to be single,2016,christian ditter,6.1,59886,51.0
the blind side,2009,john lee hancock,7.7,237221,53.0
la vie d'adèle,2013,abdellatif kechiche,7.8,103150,88.0
the babadook,2014,jennifer kent,6.8,132580,86.0
the hobbit: the battle of the five armies,2014,peter jackson,7.4,385598,59.0
harry potter and the order of the phoenix,2007,david yates,7.5,385325,71.0
snowpiercer,2013,bong joon ho,7.0,199048,84.0
the 5th wave,2016,j blakeson,5.2,73093,33.0
the visit,2015,m. night shyamalan,6.2,81429,55.0
fast five,2011,justin lin,7.3,300803,66.0
step up,2006,anne fletcher,6.5,95960,48.0
lovesong,2016,so yong kim,6.4,616,74.0
rocknrolla,2008,guy ritchie,7.3,203096,53.0
in time,2011,andrew niccol,6.7,319025,53.0
the social network,2010,david fincher,7.7,510100,95.0
the last witch hunter,2015,breck eisner,6.0,71149,34.0
victor frankenstein,2015,paul mcguigan,6.0,37975,36.0
a street cat named bob,2016,roger spottiswoode,7.4,12643,54.0
green room,2015,jeremy saulnier,7.0,62885,79.0
blackhat,2015,michael mann,5.4,43085,51.0
storks,2016,nicholas stoller,6.9,34248,56.0
american sniper,2014,clint eastwood,7.3,353305,72.0
dallas buyers club,2013,jean-marc vallée,8.0,352801,84.0
lincoln,2012,steven spielberg,7.4,207497,86.0
rush,2013,ron howard,8.1,339722,75.0
silver linings playbook,2012,david o. russell,7.8,564364,81.0
tracktown,2016,alexi pappas,5.9,115,64.0
the fault in our stars,2014,josh boone,7.8,271301,69.0
blended,2014,frank coraci,6.5,93764,31.0
fast & furious,2009,justin lin,6.6,217464,46.0
looper,2012,rian johnson,7.4,452369,84.0
white house down,2013,roland emmerich,6.4,173320,52.0
pete's dragon,2016,david lowery,6.8,36322,71.0
spider-man 3,2007,sam raimi,6.2,406219,59.0
the three musketeers,2011,paul w.s. anderson,5.8,92329,35.0
stardust,2007,matthew vaughn,7.7,220664,66.0
american hustle,2013,david o. russell,7.3,379088,90.0
jennifer's body,2009,karyn kusama,5.1,96617,47.0
midnight in paris,2011,woody allen,7.7,320323,81.0
lady macbeth,2016,william oldroyd,7.3,1396,83.0
joy,2015,david o. russell,6.6,97679,56.0
the dressmaker,2015,jocelyn moorhouse,7.1,33352,47.0
café society,2016,woody allen,6.7,45579,64.0
insurgent,2015,robert schwentke,6.3,171970,42.0
seventh son,2014,sergei bodrov,5.5,59958,30.0
the theory of everything,2014,james marsh,7.7,299718,72.0
this is the end,2013,evan goldberg,6.6,327838,67.0
about time,2013,richard curtis,7.8,221600,55.0
step brothers,2008,adam mckay,6.9,223065,51.0
clown,2014,jon watts,5.7,14248,42.0
star trek into darkness,2013,j.j. abrams,7.8,417663,72.0
zombieland,2009,ruben fleischer,7.7,409403,73.0
"hail, caesar!",2016,ethan coen,6.3,89059,72.0
slumdog millionaire,2008,danny boyle,8.0,677044,86.0
the twilight saga: breaking dawn - part 2,2012,bill condon,5.5,194329,52.0
the amazing spider-man,2012,marc webb,7.0,474320,66.0
ben-hur,2016,timur bekmambetov,5.7,28326,38.0
sleight,2016,j.d. dillard,6.0,702,62.0
the maze runner,2014,wes ball,6.8,335531,57.0
criminal,2016,ariel vromen,6.3,38430,36.0
wanted,2008,timur bekmambetov,6.7,312495,64.0
florence foster jenkins,2016,stephen frears,6.9,31776,71.0
collide,2016,eran creevy,5.7,7583,33.0
black mass,2015,scott cooper,6.9,135706,68.0
creed,2015,ryan coogler,7.6,175673,82.0
swiss army man,2016,dan kwan,7.1,61812,64.0
the expendables 3,2014,patrick hughes,6.1,137568,35.0
what we do in the shadows,2014,jemaine clement,7.6,84016,76.0
southpaw,2015,antoine fuqua,7.4,169083,57.0
hush,2016,mike flanagan,6.6,45867,67.0
bridge of spies,2015,steven spielberg,7.6,217938,81.0
the lego movie,2014,phil lord,7.8,266508,83.0
everest,2015,baltasar kormákur,7.1,154647,64.0
pixels,2015,chris columbus,5.6,101092,27.0
robin hood,2010,ridley scott,6.7,221117,53.0
the wolverine,2013,james mangold,6.7,355362,60.0
john carter,2012,andrew stanton,6.6,220667,51.0
keanu,2016,peter atencio,6.3,31913,63.0
the gunman,2015,pierre morel,5.8,31194,39.0
steve jobs,2015,danny boyle,7.2,116112,82.0
whisky galore,2016,gillies mackinnon,5.0,102,43.0
grown ups 2,2013,dennis dugan,5.4,114482,19.0
the age of adaline,2015,lee toland krieger,7.2,112288,51.0
the incredible hulk,2008,louis leterrier,6.8,342355,61.0
couples retreat,2009,peter billingsley,5.5,86417,23.0
absolutely anything,2015,terry jones,6.0,26587,31.0
magic mike,2012,steven soderbergh,6.1,113686,72.0
minions,2015,kyle balda,6.4,159830,56.0
the black room,2016,rolfe kanefsky,3.9,240,71.0
despicable me,2010,pierre coffin,7.7,410607,72.0
the best of me,2014,michael hoffman,6.7,49041,29.0
the invitation,2015,karyn kusama,6.7,40529,74.0
zero dark thirty,2012,kathryn bigelow,7.4,226661,95.0
tangled,2010,nathan greno,7.8,316459,71.0
the hunger games: mockingjay - part 2,2015,francis lawrence,6.6,202380,65.0
vacation,2015,john francis daley,6.1,74589,34.0
taken,2008,pierre morel,7.8,502961,50.0
pitch perfect 2,2015,elizabeth banks,6.5,108306,63.0
monsters university,2013,dan scanlon,7.3,252119,65.0
elle,2016,paul verhoeven,7.2,35417,89.0
mechanic: resurrection,2016,dennis gansel,5.6,48161,38.0
tusk,2014,kevin smith,5.4,34546,55.0
the headhunter's calling,2016,mark williams,6.9,164,85.0
harry potter and the deathly hallows: part 1,2010,david yates,7.7,357213,65.0
shame,2011,steve mcqueen,7.2,155010,72.0
hanna,2011,joe wright,6.8,164208,65.0
the babysitters,2007,david ross,5.7,8914,35.0
pride and prejudice and zombies,2016,burr steers,5.8,35003,45.0
300: rise of an empire,2014,noam murro,6.2,237887,48.0
london has fallen,2016,babak najafi,5.9,100702,28.0
the curious case of benjamin button,2008,david fincher,7.8,485075,70.0
sin city: a dame to kill for,2014,frank miller,6.5,122185,46.0
the bourne ultimatum,2007,paul greengrass,8.1,525700,85.0
srpski film,2010,srdjan spasojevic,5.2,43648,55.0
3 idiots,2009,rajkumar hirani,8.4,238789,67.0
zoolander 2,2016,ben stiller,4.7,48297,34.0
world war z,2013,marc forster,7.0,494819,63.0
mission: impossible - ghost protocol,2011,brad bird,7.4,382459,73.0
let me make you a martyr,2016,corey asraf,6.4,223,56.0
the longest ride,2015,george tillman jr.,7.1,58421,33.0
the imposible,2012,j.a. bayona,7.6,156189,73.0
kick-ass 2,2013,jeff wadlow,6.6,214825,41.0
folk hero & funny guy,2016,jeff grace,5.6,220,63.0
oz the great and powerful,2013,sam raimi,6.3,181521,44.0
brooklyn,2015,john crowley,7.5,94977,87.0
coraline,2009,henry selick,7.7,156620,80.0
blue valentine,2010,derek cianfrance,7.4,151409,81.0
the thinning,2016,michael j. gallagher,6.0,4531,31.0
dredd,2012,pete travis,7.1,213764,59.0
hunt for the wilderpeople,2016,taika waititi,7.9,52331,81.0
big hero 6,2014,don hall,7.8,309186,74.0
carrie,2013,kimberly peirce,5.9,113272,53.0
iron man 2,2010,jon favreau,7.0,556666,57.0
demolition,2015,jean-marc vallée,7.0,58720,49.0
pandorum,2009,christian alvart,6.8,126656,28.0
olympus has fallen,2013,antoine fuqua,6.5,214994,41.0
i am number four,2011,d.j. caruso,6.1,202682,36.0
jagten,2012,thomas vinterberg,8.3,192263,76.0
the proposal,2009,anne fletcher,6.7,241709,48.0
get hard,2015,etan cohen,6.0,95119,34.0
just go with it,2011,dennis dugan,6.4,182069,33.0
revolutionary road,2008,sam mendes,7.3,159736,69.0
the town,2010,ben affleck,7.6,294553,74.0
the boy,2016,william brent bell,6.0,51235,42.0
denial,2016,mick jackson,6.6,8229,63.0
predestination,2014,michael spierig,7.5,187760,69.0
goosebumps,2015,rob letterman,6.3,57602,60.0
sherlock holmes: a game of shadows,2011,guy ritchie,7.5,357436,48.0
salt,2010,phillip noyce,6.4,255813,65.0
enemy,2013,denis villeneuve,6.9,111558,61.0
district 9,2009,neill blomkamp,8.0,556794,81.0
the other guys,2010,adam mckay,6.7,199900,64.0
american gangster,2007,ridley scott,7.8,337835,76.0
marie antoinette,2006,sofia coppola,6.4,83941,65.0
2012,2009,roland emmerich,5.8,297984,49.0
harry potter and the half-blood prince,2009,david yates,7.5,351059,78.0
argo,2012,ben affleck,7.7,481274,86.0
eddie the eagle,2016,dexter fletcher,7.4,56332,54.0
the lives of others,2006,florian henckel von donnersmarck,8.5,278103,89.0
pet,2016,carles torrens,5.7,8404,48.0
paint it black,2016,amber tamblyn,8.3,61,71.0
macbeth,2015,justin kurzel,6.7,41642,71.0
forgetting sarah marshall,2008,nicholas stoller,7.2,226619,67.0
the giver,2014,phillip noyce,6.5,93799,47.0
triple 9,2016,john hillcoat,6.3,48400,52.0
perfetti sconosciuti,2016,paolo genovese,7.7,17584,43.0
moonrise kingdom,2012,wes anderson,7.8,254446,84.0
hairspray,2007,adam shankman,6.7,102954,81.0
safe haven,2013,lasse hallström,6.7,84765,34.0
focus,2015,glenn ficarra,6.6,166489,56.0
ratatouille,2007,brad bird,8.0,504039,96.0
stake land,2010,jim mickle,6.5,36091,66.0
the book of eli,2010,albert hughes,6.9,241359,53.0
cloverfield,2008,matt reeves,7.0,313803,64.0
point break,2015,ericson core,5.3,44553,34.0
under the skin,2013,jonathan glazer,6.3,94707,78.0
i am legend,2007,francis lawrence,7.2,565721,65.0
men in black 3,2012,barry sonnenfeld,6.8,278379,58.0
super 8,2011,j.j. abrams,7.1,298913,72.0
law abiding citizen,2009,f. gary gray,7.4,228339,34.0
up,2009,pete docter,8.3,722203,88.0
maze runner: the scorch trials,2015,wes ball,6.3,159364,43.0
carol,2015,todd haynes,7.2,77995,95.0
imperium,2016,daniel ragussis,6.5,27428,68.0
youth,2015,paolo sorrentino,7.3,52636,64.0
mr. nobody,2009,jaco van dormael,7.9,166872,63.0
city of tiny lights,2016,pete travis,5.7,291,54.0
savages,2012,oliver stone,6.5,107960,59.0
(500) days of summer,2009,marc webb,7.7,398972,76.0
movie 43,2013,elizabeth banks,4.3,83625,18.0
gravity,2013,alfonso cuarón,7.8,622089,96.0
the boy in the striped pyjamas,2008,mark herman,7.8,144614,55.0
shooter,2007,antoine fuqua,7.2,267820,53.0
the happening,2008,m. night shyamalan,5.0,170897,34.0
bone tomahawk,2015,s. craig zahler,7.1,47289,72.0
magic mike xxl,2015,gregory jacobs,5.7,42506,60.0
easy a,2010,will gluck,7.1,294950,72.0
exodus: gods and kings,2014,ridley scott,6.0,137299,52.0
chappie,2015,neill blomkamp,6.9,188769,41.0
the hobbit: the desolation of smaug,2013,peter jackson,7.9,513744,66.0
half of a yellow sun,2013,biyi bandele,6.2,1356,51.0
anthropoid,2016,sean ellis,7.2,24100,59.0
the counselor,2013,ridley scott,5.3,84927,48.0
viking,2016,andrey kravchuk,4.7,1830,57.0
trust,2010,david schwimmer,7.0,36043,60.0
birth of the dragon,2016,george nolfi,3.9,552,61.0
the green inferno,2013,eli roth,5.4,26461,38.0
godzilla,2014,gareth edwards,6.4,318058,62.0
the bourne legacy,2012,tony gilroy,6.7,245374,61.0
a good year,2006,ridley scott,6.9,74674,47.0
friend request,2016,simon verhoeven,5.4,12758,59.0
lucy,2014,luc besson,6.4,352698,61.0
a quiet passion,2016,terence davies,7.2,1024,77.0
need for speed,2014,scott waugh,6.5,143389,39.0
jack reacher,2012,christopher mcquarrie,7.0,250811,50.0
the do-over,2016,steven brill,5.7,24761,22.0
true crimes,2016,alexandros avranas,7.3,198,43.0
the ghost writer,2010,roman polanski,7.2,137964,77.0
limitless,2011,neil burger,7.4,444417,59.0
spectral,2016,nic mathieu,6.3,27042,39.0
zipper,2015,mora stephens,5.7,4912,39.0
midnight special,2016,jeff nichols,6.7,54787,76.0
don't think twice,2016,mike birbiglia,6.8,10485,83.0
alice in wonderland,2010,tim burton,6.5,324898,53.0
chuck,2016,philippe falardeau,6.8,391,68.0
