isbn,title,rating_average
978-0316055437,the goldfinch,3.92
978-1501161933,all the light we cannot see,4.33
978-0312577223,the nightingale,4.6
978-1501161933,the seven husbands of evelyn hugo,4.43
978-1524798628,daisy jones & the six,4.2
978-1501110368,it ends with us,4.24
978-0399167065,big little lies,4.28
978-0307341556,sharp objects,4.0
978-0062678416,the woman in the window,3.95
978-1451648539,steve jobs,4.15
978-1524763138,becoming,4.49
978-1400052189,the immortal life of henrietta lacks,4.07
978-0385494786,into thin air,4.19
978-0307592736,wild,4.01
978-0143038412,"eat, pray, love",3.6
978-0743247542,the glass castle,4.28
978-0060853983,good omens,4.24
978-0062225672,the color of magic,3.99
978-1455563937,pachinko,4.31
978-0385353304,station eleven,4.04
978-1984822178,normal people,3.81
978-0571333127,conversations with friends,3.48
978-1476738024,a man called ove,4.37
978-1501160769,beartown,4.32
978-1101904220,dark matter,4.11
978-0593135204,project hail mary,4.51
978-0062073488,and then there were none,4.26
978-0394758282,the big sleep,4.0
978-0679722649,the maltese falcon,3.94
978-1401208417,v for vendetta,4.25
978-0930289232,watchmen,4.36
978-0375714573,persepolis,4.25
978-0394404288,the prophet,4.24
978-0553208849,siddhartha,4.05
978-0312278670,steppenwolf,3.95
978-0140186390,east of eden,4.38
978-0743297332,the sun also rises,3.84
978-0684803357,for whom the bell tolls,3.97
978-0679732259,as i lay dying,3.73
978-0679732242,the sound and the fury,3.86
978-0060837563,native son,4.16
978-0345514400,i know why the caged bird sings,4.24
978-0143038092,the joy luck club,3.93
978-1416562603,the white tiger,3.76
978-0312330538,shantaram,4.27
978-0307389732,love in the time of cholera,3.92
978-0743216210,the house of the spirits,4.24
978-0385420174,like water for chocolate,3.95
978-1609450786,my brilliant friend,4.0
978-0060932138,the unbearable lightness of being,4.11
978-0156007757,blindness,4.14
978-0805209990,the trial,3.98
978-0802144423,waiting for godot,3.83
978-0802132758,rosencrantz and guildenstern are dead,4.16
978-0553213690,the metamorphosis,3.82
978-0385334204,breakfast of champions,4.08
978-0679785897,fear and loathing in las vegas,4.08
978-0307387134,no country for old men,4.15
978-0140439083,a study in scarlet,4.15
978-0140437867,the hound of the baskervilles,4.13
978-0192123190,the adventures of sherlock holmes,4.3
978-0345404473,do androids dream of electric sheep?,4.08
978-0451457998,2001: a space odyssey,4.16
978-0547773742,a wizard of earthsea,4.01
978-0807083697,kindred,4.26
978-0547572482,the man in the high castle,3.63
978-0441014101,starship troopers,4.0
978-0553294385,"i, robot",4.2
978-0156030304,flowers for algernon,4.15
978-0312367541,a wrinkle in time,3.99
978-0064401845,bridge to terabithia,4.02
978-0440414803,holes,4.18
978-0394820378,the phantom tollbooth,4.23
978-0142410318,charlie and the chocolate factory,4.15
978-0140328711,james and the giant peach,4.02
978-0142410387,the bfg,4.24
978-0140449266,the count of monte cristo,4.27
978-0140440256,the three musketeers,4.07
978-0140449129,madame bovary,3.68
978-0140443530,the hunchback of notre-dame,4.0
978-0140449693,journey to the center of the earth,3.86
978-0140449068,twenty thousand leagues under the sea,3.89
978-0140449068,around the world in eighty days,3.93
978-0374528379,the brothers karamazov,4.32
978-0375702242,the idiot,4.19
978-0140448078,dead souls,3.96
978-0679760801,the master and margarita,4.3
978-0156027601,solaris,3.99
978-0316029186,the witcher: the last wish,4.14
978-0316029193,blood of elves,4.09
978-0613898031,roadside picnic,4.24
978-0140281639,heart of darkness,3.43
978-0140180923,lord jim,3.7
978-0140180961,the secret agent,3.6
978-0141439495,gulliver's travels,3.57
978-0141439822,robinson crusoe,3.67
978-0140433135,moll flanders,3.55
978-0451528551,the time machine,3.88
978-0141441030,the war of the worlds,3.83
978-0451528537,the invisible man,3.65
978-0140274778,the call of the wild,4.0
978-0140274761,white fang,4.0
978-0143039617,the adventures of tom sawyer,3.92
978-0142437179,adventures of huckleberry finn,3.83
978-0307743664,carrie,3.98
978-1501156700,pet sematary,4.03
978-0307743671,salem's lot,4.03
978-0141187068,the call of cthulhu,4.2
978-0062564344,stardust,4.09
978-0062073556,death on the nile,4.11
978-0062073563,the murder of roger ackroyd,4.25
978-0316206891,the silkworm,4.05
978-0316206846,the cuckoo's calling,3.87
978-0140439076,the sign of four,3.92
978-0345337665,interview with the vampire,4.0
978-1400030606,the queen's gambit,4.2
978-0156029841,the princess bride,4.26
978-0451450524,the last unicorn,4.17
978-0061478789,howl's moving castle,4.29
978-0525457589,the neverending story,4.18
978-0439709101,inkheart,3.89
978-1368036986,artemis fowl,3.85
978-0786838653,the lightning thief,4.26
978-0440418320,the golden compass,3.99
978-0375846724,the subtle knife,4.14
978-0375846731,the amber spyglass,4.09
978-0375826696,eragon,3.91
978-1416914280,city of bones,4.09
978-1250316776,"red, white & royal blue",4.13
978-0062439604,the hating game,3.6
978-0143124542,me before you,4.26
978-0140280090,bridget jones's diary,3.76
978-0767914765,the devil wears prada,3.75
978-0385335485,confessions of a shopaholic,3.64
978-1573225519,high fidelity,3.93
978-1573227339,about a boy,3.8
978-0385536974,crazy rich asians,3.83
978-1560252481,requiem for a dream,4.12
978-0385501569,choke,3.68
978-0393314809,trainspotting,4.09
978-0547572178,a scanner darkly,4.03
978-0679745587,in cold blood,4.08
978-0312263126,digital fortress,3.6
978-0062068415,shutter island,4.1
978-0060254926,where the wild things are,4.23
978-0394800011,the cat in the hat,4.18
978-0142001745,the secret life of bees,4.07
978-0684842677,angela's ashes,4.13
978-0385484510,tuesdays with morrie,4.13
978-0060731328,freakonomics,3.99
978-0553380163,a brief history of time,4.2
978-0345331359,cosmos,4.39
978-0393317552,"guns, germs, and steel",4.04
978-0684824901,team of rivals,4.28
978-0143034759,alexander hamilton,4.25
978-1400064168,unbroken,4.38
978-1400034710,chronicle of a death foretold,3.98
978-0375725845,perfume: the story of a murderer,4.04
978-0156001311,the name of the rose,4.13
978-1400095209,half of a yellow sun,4.33
978-0446670258,the virgin suicides,3.85
978-0345361790,a prayer for owen meany,4.24
978-0345366764,the world according to garp,4.1
978-0060188733,bel canto,3.93
978-0735224292,little fires everywhere,4.09
978-0307390950,doctor zhivago,3.99
978-0451191144,atlas shrugged,3.69
978-0451191151,the fountainhead,3.88
978-0345538994,the lost world,3.8
978-0307743688,the stand,4.34
978-0141439730,dr. jekyll and mr. hyde,3.82
978-0141321004,treasure island,3.83
978-0141329819,peter pan,4.07
978-0143039099,the wind in the willows,3.98
978-0525444433,winnie-the-pooh,4.34
978-0152058104,mary poppins,3.99
978-0142402498,pippi longstocking,4.14
978-0141321592,anne of green gables,4.26
978-0141322568,heidi,3.99
978-0141321035,black beauty,3.97
978-1593081157,the jungle book,3.94
978-0141442372,kim,3.75
978-0141439662,sense and sensibility,4.07
978-0141439587,emma,4.02
978-0141439686,persuasion,4.14
978-0141439808,mansfield park,3.85
978-0141439792,northanger abbey,3.83
978-0141439594,tess of the d'urbervilles,3.79
978-0141439655,far from the madding crowd,3.95
978-0141439549,middlemarch,3.99
978-0141439754,silas marner,3.61
978-0140439441,david copperfield,4.0
978-0141439747,oliver twist,3.87
978-0141439723,bleak house,4.0
978-0140439052,a christmas carol,4.06
978-0141439839,vanity fair,3.78
978-0141439617,the woman in white,4.0
978-0140439243,the moonstone,3.9
978-1495418655,carmilla,3.84
978-0141441351,the turn of the screw,3.68
978-0141441269,the portrait of a lady,3.8
978-0140189704,the age of innocence,3.96
978-0140187298,the house of mirth,3.94
978-1613821540,the yellow wallpaper,4.11
978-0064400022,little house on the prairie,4.19
978-0064402057,"sarah, plain and tall",3.76
978-0140384519,"roll of thunder, hear my cry",4.15
978-0312369811,tuck everlasting,3.87
978-0142401200,the westing game,4.29
978-0547328614,island of the blue dolphins,3.84
978-0743212673,deception point,3.7
978-0061120060,their eyes were watching god,4.1
978-0385031141,faust,3.98
978-0140424386,the canterbury tales,3.5
978-0393320978,beowulf,3.45
978-0140275360,the iliad,3.87
978-0316129084,leviathan wakes,4.26
978-0451190499,the green mile,4.46
978-1501143489,different seasons,4.37
978-0062073501,murder on the orient express,4.18
978-0062073556,the mysterious affair at styles,3.98
978-0307341570,dark places,3.94
978-0062060563,before i go to sleep,3.88
978-0307454553,the girl who played with fire,4.24
978-0440212560,outlander,4.23
978-0440215622,dragonfly in amber,4.33
978-0143119685,a discovery of witches,3.99
978-0156029438,the time traveler's wife,3.98
978-0449911358,fried green tomatoes at the whistle stop cafe,4.3
978-0060928339,divine secrets of the ya-ya sisterhood,3.85
978-0802142849,cold mountain,3.85
978-1439195260,lonesome dove,4.5
978-1590204597,true grit,4.14
978-0439023498,catching fire,4.29
978-0439023511,mockingjay,4.06
978-0439064873,harry potter and the chamber of secrets,4.43
978-0439136365,harry potter and the prisoner of azkaban,4.57
978-1338109061,fantastic beasts and where to find them,3.98
978-1501160837,anxious people,4.18
978-0735221680,a gentleman in moscow,4.33
978-0156012959,all the king's men,4.1
978-0805080681,wolf hall,3.88
978-0805090031,bring up the bodies,3.95
978-0743227445,the other boleyn girl,4.06
978-0452282155,girl with a pearl earring,3.88
978-0812968064,snow flower and the secret fan,4.07
978-0312195513,the red tent,4.18
978-0385341004,the guernsey literary and potato peel pie society,4.17
978-1442426702,to all the boys i've loved before,4.15
978-0553296983,the diary of a young girl,4.19
978-0446605236,the notebook,4.1
978-0446608954,a walk to remember,4.18
978-0446567336,dear john,4.04
978-0786890934,p.s. i love you,4.16
978-0786891085,"love, rosie",4.2
978-0340961175,one day,3.8
978-0375869020,wonder,4.43
978-1400032716,the curious incident of the dog in the night-time,3.89
978-0618711659,extremely loud & incredibly close,3.98
978-0060529703,everything is illuminated,3.92
978-0312421274,the corrections,3.81
978-0143105985,white noise,3.85
978-0345457684,altered carbon,4.12
978-0374104092,annihilation,3.73
978-1101972120,stories of your life and others,4.26
978-0060557812,neverwhere,4.17
978-0060515188,anansi boys,4.03
978-0060502928,going postal,4.39
978-0345391810,the restaurant at the end of the universe,4.21
978-1476733951,wool,4.22
978-0062363596,hidden figures,4.26
978-0385534246,killers of the flower moon,4.1
978-0375725609,devil in the white city,3.99
978-0670025817,the boys in the boat,4.34
978-0805094596,shadow and bone,3.9
978-0143039983,the haunting of hill house,3.83
978-0143129431,we have always lived in the castle,3.99
978-0062259653,bird box,4.01
978-0307346605,world war z,4.01
978-1421527727,battle royale,4.23
978-1101980385,the vegetarian,3.63
978-1631496707,"kim jiyoung, born 1982",3.77
978-1335430991,before the coffee gets cold,3.67
978-0060809249,the phantom of the opera,3.96
978-0679720218,the plague,3.99
978-0449213940,all quiet on the western front,3.96
978-0395927212,the namesake,3.98
978-0156628709,mrs. dalloway,3.8
978-0156907392,to the lighthouse,3.78
978-0140283299,on the road,3.62
978-0312426781,call me by your name,4.13
978-0802123459,the sympathizer,3.97
978-0385542364,the underground railroad,4.03
978-1400062089,olive kitteridge,3.81
978-0143113492,in the woods,3.77
978-0743298025,the thirteenth tale,4.05
978-0316251266,my cousin rachel,3.94
978-0385416344,the firm,3.95
978-0440245919,a time to kill,4.06
978-0440245933,the pelican brief,3.92
978-0515123448,killing floor,4.06
978-0440206156,red dragon,4.24
978-0385299295,hannibal,3.73
978-0393332148,the talented mr. ripley,3.96
978-0393321982,strangers on a train,3.94
978-0679723257,the postman always rings twice,3.9
978-0679723226,double indemnity,4.11
978-0446674249,l.a. confidential,4.28
978-0446618120,the black dahlia,3.92
978-0061007224,the exorcist,4.18
978-1605981109,rosemary's baby,4.09
978-0060080843,the stepford wives,3.77
978-0879518325,psycho,4.15
978-0345544148,jaws,3.96
978-0765356154,jonathan strange & mr norrell,3.83
978-0679745204,the english patient,3.85
978-0679735908,possession,3.83
978-0385504225,the lost symbol,3.74
978-0316086899,brief interviews with hideous men,3.89
978-0618526413,the heart is a lonely hunter,4.04
978-0374505844,wise blood,4.03
978-0439139595,harry potter and the goblet of fire,4.56
978-0439358064,harry potter and the order of the phoenix,4.5
978-0439784542,harry potter and the half-blood prince,4.57
978-0545010221,harry potter and the deathly hallows,4.62
978-0553381696,a clash of kings,4.41
978-0553381702,a storm of swords,4.54
978-0553582024,a feast for crows,4.14
978-0553801477,a dance with dragons,4.32
978-0812511819,the eye of the world,4.18
978-0812517729,the great hunt,4.22
978-0812513714,the dragon reborn,4.25
978-1612185439,casino royale,3.76
978-1612185446,live and let die,3.67
978-1612185453,moonraker,3.74
978-1612185507,goldfinger,3.83
978-0143120933,tinker tailor soldier spy,4.06
978-0143124757,the spy who came in from the cold,4.08
978-0143119661,smiley's people,4.06
978-0451239372,the day of the jackal,4.24
978-0553260113,the bourne identity,4.03
978-0553263220,the bourne supremacy,3.95
978-0425240335,the hunt for red october,4.09
978-0425240359,patriot games,4.05
978-0440178002,shōgun,4.39
978-0440184621,tai-pan,4.23
978-0440145462,king rat,4.07
978-0345353146,sphere,3.8
978-0060541811,the andromeda strain,3.89
978-0345378491,congo,3.61
978-0345417626,timeline,3.85
978-1451678192,the martian chronicles,4.13
978-1451678185,the illustrated man,4.12
978-0380729401,something wicked this way comes,3.94
978-0765357151,i am legend,4.0
978-0765308702,what dreams may come,4.11
978-0671004101,contact,4.13
978-0451224996,world without end,4.26
978-0061148518,the bad beginning,3.94
978-0061148532,the reptile room,3.98
978-0380731480,sideways stories from wayside school,4.16
978-0684801469,a farewell to arms,3.8
978-0062353597,the duke and i,3.84
978-0062353641,the viscount who loved me,4.04
978-0380018178,the thorn birds,4.23
978-0671792817,streets of laredo,4.08
978-0006540939,empire of the sun,3.91
978-0312420338,crash,3.32
978-0871404022,high rise,3.68
978-0451210845,the gunslinger,3.93
978-1476727653,doctor sleep,4.09
978-0316219136,time of contempt,4.25
978-0316219181,baptism of fire,4.32
978-0316219143,the tower of the swallow,4.34
978-0316219150,lady of the lake,4.29
978-1401225759,"sandman, vol. 1: preludes & nocturnes",4.23
978-1401227999,"sandman, vol. 2: the doll's house",4.4
978-0618871711,fun home: a family tragicomic,4.08
978-0375714665,persepolis 2: the story of a return,4.36
978-0062498533,the hate u give,4.49
978-0525475064,looking for alaska,3.99
978-0525478188,paper towns,3.86
978-1595141712,thirteen reasons why,3.92
978-1594744761,miss peregrine's home for peculiar children,3.9
978-0385738758,the scorch trials,3.9
978-0385738772,the death cure,3.8
978-0062024046,insurgent,4.02
978-0062024060,allegiant,3.6
978-0316160193,new moon,3.55
978-0316160209,eclipse,3.7
978-0316067928,breaking dawn,3.72
978-0671880316,schindler's list,4.35
978-1439136690,brooklyn,3.92
978-0375707971,the reader,3.77
978-0786856862,the sea of monsters,4.23
978-0062225726,wyrd sisters,4.24
978-0553293371,foundation and empire,4.23
978-0553293364,second foundation,4.25
978-0062225689,the light fantastic,3.99
978-0385490443,alias grace,4.03
978-0452296299,the magicians,3.51
978-0064405003,prince caspian,3.98
978-0064405027,the voyage of the dawn treader,4.09
978-0064405041,the silver chair,3.96
978-0451161352,cujo,3.68
978-1501143793,firestarter,3.86
978-1501143823,the dead zone,3.95
978-1501144172,thinner,3.63
978-0307951335,the death of ivan ilyich,4.05
978-0140449945,resurrection,3.94
978-0679725169,no exit,4.07
978-0140481341,death of a salesman,3.76
978-0140481389,the crucible,4.06
978-0811216024,a streetcar named desire,3.98
978-0811216017,cat on a hot tin roof,4.06
978-0140177374,the pearl,3.44
978-0140177381,cannery row,4.03
978-0140177367,the red pony,3.39
978-0064400565,stuart little,3.85
978-0064408677,the trumpet of the swan,4.06
978-0385537858,inferno,3.86
978-0312854317,the shadow rising,4.27
978-0312854270,the fires of heaven,4.23
978-1524731656,bad blood: secrets and lies in a silicon valley startup,4.38
978-1501180989,the outsider,3.98
978-1451627282,11/22/63,4.3
978-1439148501,under the dome,3.92
978-0684853505,bag of bones,3.9
978-0670839537,needful things,3.93
978-0670220267,christine,3.79
978-0670241330,corduroy,4.29
978-0689714346,"alexander and the terrible, horrible, no good, very bad day",4.22
978-0140564393,madeline,4.14
978-0395159934,curious george,4.13
978-0689306473,cloudy with a chance of meatballs,4.2
978-1408809211,operation mincemeat,4.32
978-0143115625,the likeness,4.07
978-0143119494,faithful place,4.06
978-0062068408,gone baby gone,4.13
978-0307454560,the girl who kicked the hornet's nest,4.22
978-0307595861,the snowman,4.03
978-0307957184,headhunters,3.84
978-0062645227,magpie murders,4.11
978-1250069825,nine perfect strangers,3.49
978-0440245902,tell no one,4.13
978-0525953500,the stranger,3.96
978-0316734938,the lincoln lawyer,4.18
978-0316069434,the black echo,4.14
978-0446364195,along came a spider,4.09
978-0446601245,kiss the girls,4.13
978-0451488855,the bone collector,4.19
978-0446359863,presumed innocent,4.05
978-0345533666,defending jacob,4.04
978-0060584757,mystic river,4.18
978-1501171345,the last thing he told me,3.84
978-1501172168,anatomy of a scandal,3.79
978-0571297887,apple tree yard,3.6
978-0425285046,the girl before,3.8
978-0307386175,on chesil beach,3.44
978-0385539708,the children act,3.87
978-0385334143,mother night,4.22
978-0552998482,chocolat,3.99
978-1439165652,the hundred-foot journey,3.84
978-0452269576,bastard out of carolina,4.12
978-0425190371,practical magic,3.85
978-1451617481,the dovekeepers,4.07
978-0316393874,the wonder,3.76
978-0061726804,before i fall,3.91
978-0689865381,uglies,3.86
978-1524714680,one of us is lying,4.03
978-1984896391,a good girl's guide to murder,4.34
978-0062348678,simon vs. the homo sapiens agenda,4.23
978-1442408937,aristotle and dante discover the secrets of the universe,4.32
978-0307931887,every day,3.92
978-0553496642,"everything, everything",4.01
978-0553496680,the sun is also a star,4.03
978-0312674397,speak,4.04
978-0679781493,less than zero,3.6
978-0061147955,horns,3.92
978-0062200570,nos4a2,3.92
978-0553584493,odd thomas,4.03
978-0425188804,watchers,4.17
978-0345533376,intensity,4.07
978-0425181102,phantoms,3.92
978-1501142543,britt-marie was here,4.07
978-1401324643,the 100-year-old man who climbed out the window and disappeared,3.83
978-1481409933,"are you there god? it's me, margaret",4.0
978-0375822339,stargirl,3.77
978-0316809061,maniac magee,3.96
978-0763680862,because of winn-dixie,4.06
978-0763680893,the tale of despereaux,3.98
978-0689835827,shiloh,4.09
978-0689711819,from the mixed-up files of mrs. basil e. frankweiler,4.17
978-0316017459,the terror,4.05
978-0307390271,the ruins,3.63
978-0307275738,a simple plan,4.04
978-0743267489,q & a,4.02
978-0425201336,mao's last dancer,4.11
978-0385424714,the client,4.0
978-0385472943,the runaway jury,4.04
978-0385424738,the rainmaker,4.03
978-1501143854,gerald's game,3.51
978-1501143809,dolores claiborne,4.02
978-0553250428,the clan of the cave bear,4.08
978-0306824852,roots: the saga of an american family,4.45
978-0679736370,sophie's choice,4.11
978-0345387660,the cider house rules,4.14
978-0312427573,the bonfire of the vanities,3.76
978-0375701320,american pastoral,3.94
978-0375726347,the human stain,3.85
978-0449911655,"rabbit, run",3.76
978-0679744399,all the pretty horses,4.03
978-0345347954,childhood's end,4.1
978-0812967128,the day of the triffids,4.04
978-0140014402,the midwich cuckoos,3.95
978-0671729417,flowers in the attic,3.84
978-0671729479,petals on the wind,3.76
978-0061479939,the princess diaries,3.79
978-0064407052,ella enchanted,3.98
978-0385730585,the sisterhood of the traveling pants,3.78
978-0316910332,gossip girl,3.6
978-0060887308,pretty little liars,3.85
978-1595141743,vampire academy,4.12
978-0385739137,fallen,3.68
978-0316042673,beautiful creatures,3.75
978-0316068048,the host,3.84
978-0446673549,sex and the city,3.45
978-0786868193,lipstick jungle,3.38
978-0743418171,in her shoes,3.88
978-0312321192,something borrowed,3.84
978-0446547567,the last song,4.14
978-0446547598,safe haven,4.18
978-0446606813,message in a bottle,3.96
978-0446692656,nights in rodanthe,3.85
978-0062312181,a bear called paddington,4.26
978-0152047375,the borrowers,4.03
978-0064409445,chitty chitty bang bang,3.7
978-0140340348,the hundred and one dalmatians,4.09
978-1442467453,"bambi, a life in the woods",3.92
978-0765330383,the fox and the hound,4.08
978-0380709243,the mouse and the motorcycle,4.11
978-0380709564,"ramona quimby, age 8",4.07
978-0440412670,where the red fern grows,4.1
978-0552160896,angels & demons,3.9
